Encoding	Decoding
526.0005	5467.0055
525.0005	285.0003
525.0005	285.0003
528.0005	3886.0039
526.0005	281.0003
526.0005	277.0003
526.0005	5405.0054
620.0006	5459.0055
525.0005	5478.0055
526.0005	5483.0055
525.0005	286.0003
525.0005	282.0003
527.0005	5426.0054
526.0005	5399.0054
527.0005	5439.0054
527.0005	5469.0055
616.0006	5491.0055
526.0005	5429.0054
524.0005	5429.0054
526.0005	285.0003
525.0005	284.0003
527.0005	3857.0039
525.0005	425.0004
525.0005	287.0003
526.0005	3008.0030
526.0005	441.0004
525.0005	282.0003
525.0005	5439.0054
528.0005	5558.0056
528.0005	5475.0055
527.0005	5400.0054
527.0005	5394.0054
614.0006	5423.0054
525.0005	5550.0055
525.0005	5431.0054
524.0005	5484.0055
525.0005	5438.0054
624.0006	5399.0054
526.0005	5464.0055
528.0005	5443.0054
526.0005	5445.0054
527.0005	3880.0039
526.0005	416.0004
525.0005	283.0003
526.0005	3045.0030
525.0005	414.0004
525.0005	283.0003
528.0005	3045.0030
527.0005	455.0005
526.0005	283.0003
525.0005	5473.0055
625.0006	5427.0054
526.0005	5378.0054
526.0005	5452.0055
526.0005	286.0003
525.0005	281.0003
526.0005	5404.0054
527.0005	5388.0054
527.0005	281.0003
520.0005	285.0003
524.0005	3068.0031
526.0005	413.0004
525.0005	283.0003
528.0005	5459.0055
527.0005	287.0003
525.0005	282.0003
526.0005	3818.0038
528.0005	281.0003
526.0005	283.0003
521.0005	5446.0054
622.0006	5478.0055
527.0005	5474.0055
526.0005	5378.0054
528.0005	326.0003
523.0005	420.0004
528.0005	280.0003
526.0005	3019.0030
526.0005	299.0003
526.0005	281.0003
525.0005	2183.0022
526.0005	281.0003
524.0005	279.0003
527.0005	3012.0030
527.0005	283.0003
526.0005	279.0003
527.0005	3013.0030
526.0005	282.0003
521.0005	5467.0055
527.0005	287.0003
525.0005	283.0003
525.0005	3908.0039
527.0005	435.0004
525.0005	285.0003
528.0005	5438.0054
621.0006	5435.0054
524.0005	5500.0055
527.0005	5405.0054
526.0005	5503.0055
526.0005	283.0003
526.0005	283.0003
527.0005	5388.0054
526.0005	5407.0054
527.0005	280.0003
524.0005	285.0003
526.0005	3045.0030
526.0005	441.0004
525.0005	6533.0065
527.0005	3819.0038
526.0005	283.0003
527.0005	280.0003
527.0005	5430.0054
521.0005	5428.0054
525.0005	5454.0055
616.0006	5482.0055
526.0005	5429.0054
526.0005	5410.0054
525.0005	5409.0054
527.0005	322.0003
525.0005	289.0003
526.0005	283.0003
526.0005	5404.0054
527.0005	5639.0056
524.0005	282.0003
616.0006	5412.0054
525.0005	5348.0053
527.0005	5407.0054
527.0005	5442.0054
526.0005	5490.0055
615.0006	5468.0055
527.0005	5470.0055
526.0005	5419.0054
526.0005	288.0003
525.0005	281.0003
528.0005	3887.0039
526.0005	409.0004
528.0005	5429.0054
528.0005	2183.0022
525.0005	281.0003
526.0005	283.0003
526.0005	5451.0055
619.0006	5459.0055
526.0005	5515.0055
527.0005	5465.0055
527.0005	5385.0054
527.0005	5437.0054
621.0006	5409.0054
527.0005	5559.0056
526.0005	5465.0055
525.0005	285.0003
525.0005	285.0003
526.0005	3888.0039
527.0005	282.0003
526.0005	285.0003
530.0005	5422.0054
527.0005	5421.0054
526.0005	5511.0055
525.0005	5399.0054
524.0005	5493.0055
526.0005	285.0003
528.0005	5414.0054
527.0005	291.0003
524.0005	280.0003
522.0005	3912.0039
527.0005	413.0004
525.0005	280.0003
526.0005	3031.0030
526.0005	285.0003
525.0005	283.0003
624.0006	5448.0054
527.0005	5518.0055
528.0005	5406.0054
527.0005	5442.0054
526.0005	3024.0030
527.0005	280.0003
525.0005	280.0003
519.0005	5453.0055
527.0005	5495.0055
527.0005	284.0003
525.0005	282.0003
527.0005	5394.0054
622.0006	5475.0055
521.0005	5519.0055
525.0005	5498.0055
526.0005	5428.0054
526.0005	5414.0054
526.0005	5385.0054
526.0005	288.0003
525.0005	283.0003
528.0005	3021.0030
528.0005	282.0003
524.0005	283.0003
527.0005	5426.0054
621.0006	5470.0055
526.0005	5462.0055
526.0005	5455.0055
527.0005	3912.0039
521.0005	397.0004
525.0005	280.0003
526.0005	3023.0030
527.0005	303.0003
525.0005	281.0003
526.0005	5469.0055
528.0005	5430.0054
527.0005	5722.0057
526.0005	5401.0054
526.0005	5387.0054
527.0005	284.0003
527.0005	5447.0054
527.0005	5475.0055
527.0005	3039.0030
527.0005	290.0003
526.0005	285.0003
525.0005	3033.0030
526.0005	461.0005
527.0005	283.0003
525.0005	5459.0055
527.0005	5445.0054
527.0005	5394.0054
525.0005	5405.0054
525.0005	5454.0055
622.0006	5436.0054
526.0005	5566.0056
526.0005	5435.0054
527.0005	3887.0039
526.0005	454.0005
525.0005	284.0003
525.0005	3043.0030
527.0005	311.0003
526.0005	282.0003
528.0005	5426.0054
630.0006	5461.0055
597.0006	5414.0054
527.0005	5493.0055
526.0005	284.0003
526.0005	283.0003
525.0005	5432.0054
622.0006	5480.0055
526.0005	5365.0054
528.0005	5408.0054
527.0005	5436.0054
525.0005	5421.0054
616.0006	5463.0055
526.0005	5654.0057
526.0005	5431.0054
526.0005	5396.0054
615.0006	5450.0054
527.0005	5523.0055
527.0005	5438.0054
526.0005	5451.0055
525.0005	5471.0055
526.0005	283.0003
524.0005	285.0003
525.0005	3014.0030
528.0005	282.0003
525.0005	283.0003
530.0005	5457.0055
528.0005	5431.0054
527.0005	323.0003
525.0005	415.0004
525.0005	277.0003
526.0005	2177.0022
528.0005	282.0003
526.0005	280.0003
526.0005	3043.0030
528.0005	281.0003
526.0005	279.0003
527.0005	5428.0054
621.0006	5435.0054
526.0005	284.0003
525.0005	283.0003
525.0005	3017.0030
527.0005	281.0003
526.0005	281.0003
527.0005	5437.0054
528.0005	323.0003
623.0006	299.0003
525.0005	1570.0016
525.0005	5464.0055
526.0005	284.0003
528.0005	5430.0054
527.0005	5413.0054
525.0005	323.0003
525.0005	284.0003
526.0005	280.0003
527.0005	3027.0030
526.0005	419.0004
527.0005	279.0003
526.0005	5447.0054
525.0005	5455.0055
524.0005	392.0004
524.0005	281.0003
527.0005	3015.0030
528.0005	282.0003
525.0005	269.0003
526.0005	5428.0054
734.0007	5426.0054
526.0005	5462.0055
525.0005	5443.0054
527.0005	330.0003
525.0005	415.0004
528.0005	283.0003
523.0005	3057.0031
526.0005	287.0003
527.0005	5421.0054
527.0005	5468.0055
525.0005	460.0005
526.0005	282.0003
526.0005	5459.0055
624.0006	5476.0055
527.0005	5516.0055
528.0005	5405.0054
526.0005	5432.0054
526.0005	5416.0054
526.0005	5431.0054
526.0005	432.0004
525.0005	281.0003
-999472.9995	5435.0054
623.0006	5398.0054
528.0005	5428.0054
525.0005	5435.0054
526.0005	5435.0054
527.0005	5465.0055
525.0005	293.0003
526.0005	298.0003
527.0005	3896.0039
526.0005	407.0004
527.0005	5459.0055
528.0005	2190.0022
526.0005	298.0003
527.0005	292.0003
525.0005	3026.0030
526.0005	472.0005
525.0005	296.0003
527.0005	5478.0055
625.0006	5459.0055
526.0005	5472.0055
526.0005	5421.0054
526.0005	5430.0054
526.0005	300.0003
526.0005	294.0003
526.0005	5445.0054
527.0005	321.0003
527.0005	430.0004
526.0005	297.0003
526.0005	3023.0030
528.0005	466.0005
526.0005	300.0003
525.0005	3019.0030
525.0005	434.0004
523.0005	299.0003
526.0005	5442.0054
528.0005	5464.0055
528.0005	299.0003
525.0005	298.0003
527.0005	5435.0054
524.0005	5385.0054
525.0005	437.0004
526.0005	297.0003
527.0005	3055.0031
527.0005	416.0004
526.0005	289.0003
527.0005	5465.0055
622.0006	5409.0054
527.0005	5520.0055
527.0005	4699.0047
527.0005	458.0005
525.0005	300.0003
526.0005	5442.0054
527.0005	5376.0054
526.0005	297.0003
526.0005	298.0003
526.0005	5463.0055
624.0006	5454.0055
527.0005	5429.0054
527.0005	5412.0054
527.0005	4648.0046
525.0005	441.0004
525.0005	300.0003
527.0005	5432.0054
526.0005	5453.0055
525.0005	421.0004
526.0005	300.0003
524.0005	3062.0031
526.0005	299.0003
526.0005	299.0003
528.0005	3324.0033
528.0005	455.0005
525.0005	300.0003
526.0005	3027.0030
526.0005	457.0005
526.0005	300.0003
525.0005	5433.0054
620.0006	5395.0054
527.0005	5367.0054
527.0005	5378.0054
526.0005	3878.0039
527.0005	410.0004
524.0005	298.0003
524.0005	5434.0054
528.0005	5402.0054
617.0006	5435.0054
528.0005	5481.0055
526.0005	5462.0055
526.0005	3864.0039
527.0005	294.0003
521.0005	299.0003
526.0005	5413.0054
623.0006	-994558.9946
527.0005	5405.0054
525.0005	5473.0055
526.0005	279.0003
524.0005	292.0003
527.0005	3846.0038
525.0005	298.0003
524.0005	292.0003
524.0005	3041.0030
526.0005	299.0003
527.0005	293.0003
526.0005	5442.0054
628.0006	5444.0054
526.0005	5483.0055
527.0005	5432.0054
528.0005	5445.0054
527.0005	5416.0054
526.0005	5463.0055
614.0006	5437.0054
525.0005	5499.0055
526.0005	5425.0054
525.0005	5439.0054
522.0005	321.0003
525.0005	282.0003
526.0005	301.0003
525.0005	5436.0054
524.0005	5437.0054
526.0005	412.0004
524.0005	298.0003
526.0005	5442.0054
526.0005	5441.0054
528.0005	293.0003
526.0005	297.0003
525.0005	5372.0054
617.0006	5458.0055
526.0005	5493.0055
526.0005	5475.0055
527.0005	285.0003
525.0005	300.0003
528.0005	5446.0054
522.0005	5447.0054
527.0005	5419.0054
526.0005	5458.0055
525.0005	470.0005
525.0005	300.0003
521.0005	3034.0030
526.0005	417.0004
525.0005	300.0003
529.0005	5433.0054
632.0006	5422.0054
524.0005	5500.0055
527.0005	5431.0054
526.0005	5467.0055
526.0005	293.0003
527.0005	298.0003
527.0005	3863.0039
528.0005	422.0004
527.0005	298.0003
524.0005	5483.0055
621.0006	5445.0054
526.0005	5354.0054
526.0005	5450.0054
525.0005	286.0003
528.0005	5471.0055
525.0005	305.0003
526.0005	319.0003
527.0005	301.0003
526.0005	5530.0055
528.0005	5398.0054
525.0005	5454.0055
526.0005	294.0003
525.0005	302.0003
526.0005	5410.0054
527.0005	321.0003
520.0005	463.0005
526.0005	295.0003
525.0005	3023.0030
527.0005	419.0004
525.0005	294.0003
525.0005	5450.0054
525.0005	5442.0054
525.0005	302.0003
526.0005	290.0003
526.0005	5437.0054
525.0005	320.0003
525.0005	286.0003
527.0005	5446.0054
623.0006	5449.0054
524.0005	5556.0056
525.0005	5422.0054
526.0005	5488.0055
526.0005	3055.0031
525.0005	458.0005
527.0005	291.0003
526.0005	3042.0030
526.0005	466.0005
526.0005	295.0003
526.0005	5445.0054
524.0005	5401.0054
527.0005	5416.0054
526.0005	4681.0047
526.0005	450.0004
525.0005	289.0003
526.0005	3040.0030
528.0005	402.0004
525.0005	296.0003
524.0005	5403.0054
628.0006	5444.0054
526.0005	5528.0055
521.0005	5454.0055
527.0005	5473.0055
527.0005	3058.0031
525.0005	439.0004
526.0005	290.0003
527.0005	5448.0054
526.0005	5431.0054
526.0005	5458.0055
528.0005	4687.0047
521.0005	470.0005
527.0005	295.0003
524.0005	5446.0054
616.0006	5463.0055
525.0005	5439.0054
526.0005	478.0005
527.0005	285.0003
526.0005	5398.0054
630.0006	5392.0054
